Serial,SID,Time,Draft,IP Address,UID,Username,Given Name,Family name,E-mail,Phone,Phone (alternate),Gender,Gender (please specify),Birth year ,Preference of student mentee gender,24-Sep,25-Sep,2-Oct,Additional comments re availability,Working in industry,Working in academia,Working for a startup,Self-employed,Retired,Other (please specify),Employment status (other),Current employer,Current job title,Years of CS-related work experience,Highest level of education,Education (other),CS areas of interest,Hobbies and interests,CS Alumni/ae,Additional questions or comments
23,334,2014/07/31 - 10:59am,0,,,,Leanne,Fournier,Fournier.Leanne@smile.dm,778-8014998,604-9081280,Identify as female,,1975,No preference,First Choice,Second Choice,Third Choice,These are guesses.  I don't know if I'm available or not yet.,,X,,,,,,SFU,Associate Professor,11-15 years,PhD,,"databases, data management","reading, sleeping, eating, cooking, playing with my daughter, martial arts",,
51,444,2014/08/07 - 2:39pm,0,,,,Lena,Shawanda,Shawanda.Lena@smile.dm,778-6621395,,Identify as female,,1983,No preference,Third Choice,First Choice,Second Choice,May be a bit late due to commute from work,X,,,,,,,MSP of BC,"Solutions Lead, Portal, Search and User Experience",6-10 years,Bachelor's,,"user experience, social media, portal, agile development, software engineering, digital media","graphic design,movies,crafts",X,
86,625,2014/08/28 - 10:07am,0,,,,Leo,Wren,Wren.Leo@smile.dm,604-9454598,,Identify as male,,1984,No preference,First Choice,Second Choice,Third Choice,,X,,,X,,,,QwickMedia,.Net Developer,6-10 years,Bachelor's,,"Software engineering, Data structures and Algorithms, HCI","Hiking, gaming (tabletop and video), paddleboarding, swimming, cycling",,This is a great program. I wish my university had something similar when I was in undergrad.
10,319,2014/07/30 - 7:45pm,0,,,,Leon,Tang,Tang.Leon@smile.dm,778-3124093,,Identify as male,,,No preference,First Choice,Second Choice,Third Choice,,X,,X,X,,,,EasyGo Technologies Inc.,Founder,16-20 years,Bachelor's,,"database, security, large data sets, performance, web development, automation","entrepreneurship, computer/physical security",X,
50,435,2014/08/06 - 4:46pm,0,,,,Linda,Duong,Duong.Linda@smile.dm,778-4426207,,Identify as female,,1970,Match with female students only,First Choice,Not Avail.,Not Avail.,,X,,,,,,,Vision Critical,Project Manager,16-20 years,Bachelor's,,"programming, database,agile,visual design,UX, big data,analitycs
",,,
16,325,2014/07/31 - 7:49am,0,,,,Lucy,Mah,Mah.Lucy@smile.dm,778-9220234,,Identify as female,,,Match with female students only,First Choice,Second Choice,Third Choice,,X,,,,,,,SAP Canada,Program Manager,20+ years,Bachelor's,,"Project Management, Women in Technology","Zumba, Reading, Financial Planning",X,
98,682,2014/09/16 - 11:20am,0,,,,Madison,Stafford,Stafford.Madison@smile.dm,604-7976822,,Identify as male,,1986,No preference,First Choice,Second Choice,Third Choice,,X,,,,,,,Vizier,Project Analyst ,0-2 years,Bachelor's,,"Project Management, Project Management Office, Agile Development","Golf,Snowboarding,Squash,Tennis,Badminton",X,
35,386,2014/08/02 - 10:13am,0,,,,Martin,Luo,Luo.Martin@smile.dm,778-4588946,,Identify as male,,1963,No preference,First Choice,Second Choice,Third Choice,,X,,X,,,,,Avionics Learning Systems,CTO,20+ years,PhD,,"Distributed systems, software development processes","Guitar, motorcycles",X,
92,659,2014/09/04 - 3:04pm,0,,,,Max,Beridze,Beridze.Max@smile.dm,778-7281040,,Identify as male,,1990,No preference,First Choice,Second Choice,Third Choice,,X,,X,,,,,Pulse Energy,Software Developer,0-2 years,Bachelor's,,"Machine Learning, Artificial Intelligence, Distributed Systems, Operating Systems, Algorithms, Computer Networking, Parallel Processing",,X,
89,641,2014/08/31 - 9:13pm,0,,,,Mehrdad,Mirza,Mirza.Mehrdad@smile.dm,604-2133459,,Identify as male,,,No preference,Second Choice,First Choice,Not Avail.,,X,X,,,,,,McKesson Imaging,Senior Scientist,20+ years,PhD,,"medical image analysis, computer aided design, skin cancer detection","Swimming, reading",X,
60,490,2014/08/14 - 9:18am,0,,,,Michele,Didier,Didier.Michele@smile.dm,778-2226971,,Identify as female,,,No preference,Third Choice,First Choice,Second Choice,,X,,,,,,,TELUS,IT Project Manager,3-5 years,Bachelor's,,"Java, web-design, GUI","Fishing, dodgeball, badminton, ultimate, movies, music,",X,
20,329,2014/07/31 - 9:49am,0,,,,Min Suk,Fen,Fen.Minsuk@smile.dm,604-2694849,,Identify as female,,1984,No preference,Not Avail.,Not Avail.,Not Avail.,"The past two years I've participated remotely, via Skype and email with my mentees. This has worked well so far.",X,,,,,,,Microsoft,Program Manager,3-5 years,Bachelor's,,"Databases, debugging, analysis, community outreach","Calligraphy, archery, baking, video games",X,"Love that tri-mentoring is happening again this year! It was a great experience for me and I want to help however I can. One thing that should be emphasized again to mentees is that they get out of it what they put in, so make sure to invest in the relationship with other mentees (within and outside your own group) and with your mentors."
39,397,2014/08/02 - 11:46pm,0,,,,Mina,Thurn,Thurn.Mina@smile.dm,604-4692350,,Identify as female,,1990,No preference,Not Avail.,Second Choice,First Choice,,X,,,,,,,Amazon,Software Development Engineer,0-2 years,Bachelor's,,"Databases, cloud services, distributed systems, bioinformatics",,X,
52,446,2014/08/07 - 4:09pm,0,,,,Moon-sik,Bui,Bui.Moon-sik@smile.dm,778-9453961,,Identify as female,,1992,No preference,First Choice,Second Choice,Third Choice,,X,,,,,,,KPMG,"Consultant, R&D Tax Incentive Practice",0-2 years,Bachelor's,,"Python, web-app development, C++, Java","Violin, Guitar, Horseback Riding, Swimming",X,
101,686,2014/09/22 - 4:08pm,0,,,,Nam-seon,Shin,Shin.Nam-seon@smile.dm,604-6483245,604-5775404,Identify as male,,1984,No preference,Not Avail.,Not Avail.,First Choice,,X,,,,,,,QwickMedia,Software Developer,6-10 years,Master's,,"Distributed Systems, Test Driven Development, Service oriented architectures","Paragliding, Hiking, Camping, Volleyball",,
44,422,2014/08/05 - 3:14pm,0,,,,Nelson,Levin,Levin.Nelson@smile.dm,604-4958057,,Identify as male,,1963,No preference,Not Avail.,Not Avail.,First Choice,It's the usual for me -- out of town for work on the dates I marked.,X,,,,,,,"Justems Canada, Inc.",XML Technology Specialist,20+ years,Master's,,"Theory of Computer Science, Discrete Mathematics, Visual Programming Languages, ","Photography, running, travel",,
81,582,2014/08/22 - 1:44am,0,,,,Nicole,Luke,Luke.Nicole@smile.dm,604-7702534,,Identify as female,,,No preference,Third Choice,Second Choice,First Choice,,X,,,,,,,SAP,Senior Software Developer,6-10 years,Bachelor's,,"Business Intelligence, web applications, gaming, data mining","Dragon boating, rock climbing, comic books, video games, board games",X,
75,566,2014/08/19 - 2:11pm,0,,,,Nigel,Kerr,Kerr.Nigel@smile.dm,604-8949973,604-4941426,Identify as male,,1980,No preference,Not Avail.,Not Avail.,Not Avail.,I don't live in Vancouver but I found tri-mentoring last year over VC worked just fine.,X,,,,,,,Google,Product Manager,3-5 years,PhD,,"Artificial Intelligence, Computer Vision, Robotics, Advertising Auctions","Games, Cooking",X,I'm happy to talk with someone with either an AI background or UX/Design background.  Those are the groups I would probably have the most impact talking to.
8,317,2014/07/30 - 6:46pm,0,,,,Patricia,Pedersen,Pedersen.Patricia@smile.dm,250-4156687,,Identify as female,,,No preference,Second Choice,First Choice,Third Choice,,X,,,,,,,TELUS,Product Manager,6-10 years,Bachelor's,,"IT
Software engineering
User experience"," yoga, hiking, dragon-boating
, community volunteeringre immigration and homelessness issues
",X,
4,312,2014/07/30 - 5:22pm,0,,,,Paul,Rashid,Rashid.Paul@smile.dm,778-8027342,,Identify as male,,1975,No preference,Third Choice,Second Choice,First Choice,,X,,X,,,,,Node2Node Technologies,Chief Strategy Officer,16-20 years,Master's,,"Business Intelligence, Customer Relationship Management, Sentiment Analysis, Big Data, Cloud Computing, Robotics",,X,
19,328,2014/07/31 - 9:28am,0,,,,Paul,Tekakwitha,Tekakwitha.Paul@smile.dm,778-4185920,604-7708929,Identify as male,,1976,No preference,First Choice,Second Choice,Third Choice,,X,,,X,,,,Providence Health Services,Business Analyst,11-15 years,Master's,,"General software development, requirements analysis, mobile development (iOS), web development (Ruby on Rails)","sports, bicycles",X,
,,,,,,,Payam,Khorsandi,Khorsandi.Payam@smile.dm,778-6216339,,Identify as male,,1990,No preference,Second Choice,Not Avail.,First Choice,,x,,,,,,,Electronic Arts Canada,Test Automation Engineer,0-2 years,Bachelor's,,"Full stack web and mobile applications, Programming languages, Linux","Games(computer/tabletop), mobile gadgets, web/app development, startups and side projects",X,
,,,,,,,Phillip,Singh,Singh.Phillip@smile.dm,604-8009223,,Identify as male,,1978,No preference,First Choice,Second Choice,Third Choice,,x,,x,,,,,Stark Raven Mad Games,Senior Software Engineer,11-15 years,Bachelor's,,"Video Games, Interactive Mobile Entertainment, Networking","Swimming, cycling, scuba diving, target shooting and drawing.",X,
29,341,2014/08/01 - 7:31am,0,,,,Qiang,Yang,Yang.Qiang@smile.dm,250-5198910,604-3675928,Identify as female,,1966,Match with female students only,Third Choice,First Choice,Second Choice,,X,,,,,,,University of Calgary,programmer analyst II,6-10 years,Bachelor's,,"web development, open source software, business analysis, project management","history, art, photography, film",X,
,,,,,,,Quentin,Blake,Blake.Quentin@smile.dm,604-2597877,,Identify as male,,1991,No preference,Not Avail.,Not Avail.,First Choice,,x,,,,,,,SAP Canada,Development Support,0-2 years,Bachelor's,,"User Experience, Mobile Applications, Quality Assurance, Technical Support","Winter sports (snowboarding/skiing), water and wind sports (Sailing/windsurfing), board games, cooking, science fiction and fantasy",X,
,,,,,,,Raymond,Koh,Koh.Raymond@smile.dm,778-2635444,778-4697999,Identify as male,,1975,Match with male students only,First Choice,3rd Choice,Second Choice,,x,,,,,,,Teradici Corporation,Staff Engineer,15-20 years,Master's ,,"operating systems, distributed systems, networking, embedded systems, software engineering","photography, Mac computers, cycling (for commuting and exercise), keeping up with my kids",X,
69,559,2014/08/18 - 11:03pm,0,,,,Rebecca,Bronstein,Bronstein.Rebecca@smile.dm,778-9403189,778-4421711,Identify as female,,1978,No preference,First Choice,Not Avail.,Second Choice,,X,,X,,,,,Microsoft,QE Engineer,11-15 years,Bachelor's,,"software testing, automation, Agile/Scrum, virtualization, remote computing, distributed computing","Synchronized Swimming, reading, watching documentaries and Sci-Fi movies.",X,
63,546,2014/08/18 - 10:27am,0,,,,Rhonda,Levin,Levin.Rhonda@smile.dm,250-9297624,778-6287593,Identify as female,,,No preference,First Choice,First Choice,First Choice,,X,,,,,,,BlueShore Financial,Software Tester,3-5 years,Master's,,,science fiction,X,
47,429,2014/08/06 - 8:56am,0,,,,Rosemary,Butchard,Butchard.Rosemary@smile.dm,778-5467802,,Identify as female,,,No preference,Second Choice,Not Avail.,First Choice,,,,,,,X,Working for not for profit,Cancer Prevention Alliance,Data Scientist,6-10 years,PhD,,"data mining, bioinformatics, databases","travel, knitting, pets ",X,
,,,,,,,Sam,Reid,Reid.Sam@smile.dm,604-2734635,,Identify as male,,1983,No preference,3rd Choice,First Choice,Second Choice,,x,,,,,,,TELUS,Business Analyst II,6-10 years,Master's ,,"Business Intelligence, Data Visualization, Analytics","Photography, Volleyball",X,
,,,,,,,Samuel,Hwang,Hwang.Samuel@smile.dm,604-5472697,,Identify as male,,1987,No preference,Not Avail.,Not Avail.,Not Avail.,,x,,,,,,,ShowBizNess,Forward Deployed Engineer,3-5 years,Bachelor's,,"Entrepreneurship, Big Data, B2B, Data Analysis","attending hackathons, working on side tech or web projects, travel",X,
,,,,,,,Sarah,Koc,Koc.Sarah@smile.dm,778-5888196,,Identify as female,,1987,No preference,Not Avail.,First Choice,Not Avail.,,x,,,,,,,Sony Pictures ImageWorks,Pipeline Programmer,3-5 years,Master's ,,Computer Graphics,"Tennis, running, cycling, reading, cooking, eating out, gardening, opera, theatre, traveling",X,
,,,,,,,Shawn,Narada,Narada.Shawn@smile.dm,604-8909182,,Identify as male,,1980,No preference,First Choice,3rd Choice,Second Choice,,x,,,,,,,Electronic Arts,Senior Project Manager,11-15 years,Bachelor's,,"Enterprise Architecture, Software Architecture, Web Development","blogging, home improvement, beach combing",,
,,,,,,,Victor,Lau,Lau.Victor@smile.dm,778-8792379,,Identify as male,,1979,No preference,3rd Choice,Second Choice,First Choice,,x,,,,,,,Blast Radius,Senior Front End Developer,11-15 years,Bachelor's,,Front end development and related technologies,"Mountain biking, cooking, and sleeping in.",,
,,,,,,,Wai Ming,Ting,Ting.WaiMing@smile.dm,778-5109777,778-7365912,Identify as female,,1977,Match with female students only,Not Avail.,First Choice,Not Avail.,,x,,,,,,,Human Resources Development Association,"Manager, Performance Measurement & Reporting",11-15 years,Master's ,,"Data management, Information management, Information systems","Playing the violin, swimming",X,
,,,,,,,Wilfred,Diaz,Diaz.Wilfred@smile.dm,778-7201091,,Identify as male,,1989,No preference,Not Avail.,Not Avail.,First Choice,,x,,,,,,,IBM,Consultant,0-2 years,Bachelor's,,IT Consulting,"Basketball, ice-skating, hiking",X,
,,,,,,,Xiuying,Wang,Wang.Xiuying@smile.dm,778-7486351,,Identify as female,,1986,No preference,3rd Choice,First Choice,Second Choice,,x,,x,,,,,A Thinking Ape,Software Development Engineer,3-5 years,Bachelor's,,"Graph theory, NLP, social psychology","Photography, local music, typography, Tumblr",X,
,,,,,,,Yong Yan,Gang,Gang.Yong Yan@smile.dm,250-6670269,,Identify as female,,1987,No preference,Second Choice,First Choice,Third Choice,,x,,,,,,,ICBC,Business Analyst,3-5 years,Bachelor's,,Risk management,"Bicycling, traveling, snowboarding, arts and crafts, baking",X,
